Time,Event context,Component,Event name,Description
"22/02/21, 13:32",Course: Semantic Web,System,Course viewed,The user with id '8444' viewed the course with id '130'.
"22/02/21, 13:31",File: ?????? 7: ??????????? ?? ????????? ? Prot�g�,File,Course module viewed,The user with id '8465' viewed the 'resource' activity with course module id '4727'.
"22/02/21, 13:31",File: ?????? 7: ??????????? ?? ????????? ? Prot�g�,File,Course module viewed,The user with id '8465' viewed the 'resource' activity with course module id '4727'.
"22/02/21, 13:31",File: ?????? 6: ??????????? ?? ?????????,File,Course module viewed,The user with id '8465' viewed the 'resource' activity with course module id '4716'.
"22/02/21, 13:31",File: ?????? 6: ??????????? ?? ?????????,File,Course module viewed,The user with id '8465' viewed the 'resource' activity with course module id '4716'.
"22/02/21, 13:31",File: ?????? 5: Description Logics (DL). Ontology Reasoning.,File,Course module viewed,The user with id '8465' viewed the 'resource' activity with course module id '4715'.
"22/02/21, 13:31",File: ?????? 5: Description Logics (DL). Ontology Reasoning.,File,Course module viewed,The user with id '8465' viewed the 'resource' activity with course module id '4715'.
"22/02/21, 13:31",File: ?????? 4: ???????? OWL,File,Course module viewed,The user with id '8465' viewed the 'resource' activity with course module id '1000'.
"22/02/21, 13:31",File: ?????? 3: ?????????? ?? ????????????. ????????? RDF ? RDFS.,File,Course module viewed,The user with id '8465' viewed the 'resource' activity with course module id '970'.
"22/02/21, 13:31",Wiki: ????? ?a ???? ?? ?????? (40 ?.),Wiki,Course module viewed,The user with id '8443' viewed the 'wiki' activity with course module id '5135'.
"22/02/21, 13:31",Course: Semantic Web,System,Course viewed,The user with id '8443' viewed the course with id '130'.
"22/02/21, 13:31",Wiki: ??????? ??????/ ??????? (30 ?.),Wiki,Course module viewed,The user with id '8443' viewed the 'wiki' activity with course module id '5136'.
"22/02/21, 13:31",Course: Semantic Web,System,Course viewed,The user with id '8465' viewed the course with id '130'.
"22/02/21, 13:30",Course: Semantic Web,System,Course viewed,The user with id '8443' viewed the course with id '130'.
"22/02/21, 13:30",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8443' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 13:30",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8443' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 13:30",Course: Semantic Web,System,Course viewed,The user with id '8443' viewed the course with id '130'.
"22/02/21, 12:59",File: ?????? 3: ?????????? ?? ????????????. ????????? RDF ? RDFS.,File,Course module viewed,The user with id '8453' viewed the 'resource' activity with course module id '970'.
"22/02/21, 12:48",Course: Semantic Web,System,Course viewed,The user with id '8387' viewed the course with id '130'.
"22/02/21, 12:36",File: ?????? 1: ????????? ? ???????????? ?? ?????????? ???,File,Course module viewed,The user with id '8453' viewed the 'resource' activity with course module id '969'.
"22/02/21, 12:36",File: ????????? ? ?????,File,Course module viewed,The user with id '8453' viewed the 'resource' activity with course module id '973'.
"22/02/21, 12:36",Course: Semantic Web,System,Course viewed,The user with id '8453' viewed the course with id '130'.
"22/02/21, 12:31",File: ?????? 8: ???? ?? ?????? SPARQL,File,Course module viewed,The user with id '8421' viewed the 'resource' activity with course module id '4767'.
"22/02/21, 12:03",File: ?????? 7: ??????????? ?? ????????? ? Prot�g�,File,Course module viewed,The user with id '8421' viewed the 'resource' activity with course module id '4727'.
"22/02/21, 11:50",File: ???????? ?? ???????? ?? ?????????? ? ????????? ?? ????? ? ?????? ??????,File,Course module viewed,The user with id '8408' viewed the 'resource' activity with course module id '1026'.
"22/02/21, 11:49",Course: Semantic Web,System,Course viewed,The user with id '8408' viewed the course with id '130'.
"22/02/21, 11:44",File: ???????? ?? ???????? ?? ?????????? ? ????????? ?? ????? ? ?????? ??????,File,Course module viewed,The user with id '8465' viewed the 'resource' activity with course module id '1026'.
"22/02/21, 11:44",Course: Semantic Web,System,Course viewed,The user with id '8465' viewed the course with id '130'.
"22/02/21, 11:43",File: ?????? ????????? ??? 26.01.2021,File,Course module viewed,The user with id '8465' viewed the 'resource' activity with course module id '6519'.
"22/02/21, 11:43",Course: Semantic Web,System,Course viewed,The user with id '8465' viewed the course with id '130'.
"22/02/21, 11:12",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8443' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 11:12",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8443' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 11:12",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,A submission has been submitted.,The user with id '8443' has submitted the submission with id '23631' for the assignment with course module id '4717'.
"22/02/21, 11:12",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,Submission created.,The user with id '8443' created a file submission and uploaded '1' file/s in the assignment with course module id '4717'.
"22/02/21, 11:12",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,A file has been uploaded.,The user with id '8443' has uploaded a file to the submission with id '23631' in the assignment activity with course module id '4717'.
"22/02/21, 11:12",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8443' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 11:11",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Submission form viewed.,The user with id '8443' viewed their submission for the assignment with course module id '4717'.
"22/02/21, 11:11",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8443' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 11:11",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8443' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 11:11",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8443' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 11:10",File: ?????? 1: ????????? ? ???????????? ?? ?????????? ???,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '969'.
"22/02/21, 11:10",Course: Semantic Web,System,Course viewed,The user with id '8443' viewed the course with id '130'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8440' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8440' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,A submission has been submitted.,The user with id '8440' has submitted the submission with id '23709' for the assignment with course module id '4717'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,Submission created.,The user with id '8440' created a file submission and uploaded '1' file/s in the assignment with course module id '4717'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,A file has been uploaded.,The user with id '8440' has uploaded a file to the submission with id '23709' in the assignment activity with course module id '4717'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8440' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Submission form viewed.,The user with id '8440' viewed their submission for the assignment with course module id '4717'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8440' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8440' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8440' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 10:35",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8440' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 10:33",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Submission form viewed.,The user with id '8440' viewed their submission for the assignment with course module id '4717'.
"22/02/21, 10:33",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8440' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 10:33",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8440' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 10:33",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8440' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 10:32",Wiki: ????? ?a ???? ?? ?????? (40 ?.),Wiki,Course module viewed,The user with id '8440' viewed the 'wiki' activity with course module id '5135'.
"22/02/21, 10:32",Course: Semantic Web,System,Course viewed,The user with id '8440' viewed the course with id '130'.
"22/02/21, 10:27",File: ?????? 6: ??????????? ?? ?????????,File,Course module viewed,The user with id '8421' viewed the 'resource' activity with course module id '4716'.
"22/02/21, 10:19",File: ?????? 5: Description Logics (DL). Ontology Reasoning.,File,Course module viewed,The user with id '8421' viewed the 'resource' activity with course module id '4715'.
"22/02/21, 10:03",Course: Semantic Web,System,Course viewed,The user with id '8431' viewed the course with id '130'.
"22/02/21, 10:00",File: ??????,File,Course module viewed,The user with id '8453' viewed the 'resource' activity with course module id '5158'.
"22/02/21, 10:00",Course: Semantic Web,System,Course viewed,The user with id '8453' viewed the course with id '130'.
"22/02/21, 09:58",File: ?????? 4: ???????? OWL,File,Course module viewed,The user with id '8421' viewed the 'resource' activity with course module id '1000'.
"22/02/21, 09:58",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8390' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 09:58",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8390' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 09:58",Course: Semantic Web,System,Course viewed,The user with id '8421' viewed the course with id '130'.
"22/02/21, 09:58",Course: Semantic Web,System,Course viewed,The user with id '8390' viewed the course with id '130'.
"22/02/21, 08:31",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 08:31",Wiki: ?????? ?? ??????,Wiki,Course module viewed,The user with id '8411' viewed the 'wiki' activity with course module id '6512'.
"22/02/21, 08:31",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 08:30",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8411' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 08:30",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8411' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 08:30",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 08:30",Wiki: ????? ?a ???? ?? ?????? (40 ?.),Wiki,Course module viewed,The user with id '8411' viewed the 'wiki' activity with course module id '5135'.
"22/02/21, 08:30",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 08:30",Wiki: ??????? ??????/ ??????? (30 ?.),Wiki,Course module viewed,The user with id '8411' viewed the 'wiki' activity with course module id '5136'.
